,Company,Title,Job Category ,Job Level ,No. of Vacancy/s ,Employment Type ,Job Location ,Offered Salary ,Apply Before (Deadline) ,Education Level ,Experience Required ,Professional Skill Required 
0,Balmiki International School,Samajik Shikshya Teacher - Primary Level, Teaching / Education, Mid Level,  1 , Full Time," Dhangadi, Nepal"," NRs. 35,000.00 Monthly"," Mar. 21, 2024 23", Graduate (Masters), More than or equal to 1 year, Interpersonal Skills Communication Organizational Time Management Creativity Skills
1,Balmiki International School,Music Teacher (Vocals and Music Theory), Teaching / Education, Mid Level,  1 , Full Time," Dhangadi, Nepal"," NRs. 45,000.00 Monthly"," Mar. 21, 2024 23", Under Graduate (Bachelor), More than or equal to 1 year, Interpersonal Skills Music Instruction Training Communication Time Management
2,Balmiki International School,Mathematics Teacher - Secondary level, Teaching / Education, Mid Level,  1 , Full Time, Dhangadhi Nepal," NRs. 45,000.00 Monthly"," Mar. 21, 2024 23", Under Graduate (Bachelor), More than or equal to 2 years, Interpersonal Skills Leadership Communication Time Management Persentation
3,Balmiki International School,Grade Teacher, Teaching / Education, Mid Level,  1 , Full Time," Dhangadhi, Nepal"," NRs. 50,000.00 Monthly"," Mar. 21, 2024 23", Higher Secondary (+2/A Levels/Ib), More than or equal to 3 years, Interpersonal Skills Communication Organizational Time Management Presentation
4,Balmiki International School,Nepali Teacher - Lower Secondary Level, Teaching / Education, Mid Level,  1 , Full Time," Dhangadi, Nepal"," NRs. 35,000.00 Monthly"," Mar. 21, 2024 23", Under Graduate (Bachelor), More than or equal to 1 year, Interpersonal Skills Communication Organizational Time Management
5,Balmiki International School,Science Teacher - Secondary level, Teaching / Education, Mid Level,  1 , Full Time," Dhangadi, Nepal"," NRs. 45,000.00 Monthly"," Mar. 21, 2024 23", Under Graduate (Bachelor), More than or equal to 1 year, Interpersonal Skills Communication Organizational Time Management
6,Ace Higher Secondary School,Primary-Middle School Teachers, Teaching / Education, Mid Level,  3 , Full Time, Kathmandu, Negotiable," Mar. 10, 2024 23", Under Graduate (Bachelor), More than 2 years, Teaching Creative Thinking Interpersonal Skills Communication Adaptability Skills Leadership Collaboration Classroom Management
7,My Second Teacher,A Levels Teacher, Teaching / Education, Mid Level,  2 , Full Time," Baluwatar, Kathmandu", Negotiable," Mar. 10, 2024 23", Graduate (Masters), More than 3 years, Teaching Communication Time Management
8,Akshar Vidya Mandir,Pre-Primary Teacher, Teaching / Education, Mid Level,  1 , Full Time, Janakpurdham, Negotiable," Mar. 12, 2024 23", Higher Secondary (+2/A Levels/Ib), Not Required, Interpersonal Skills Communication Patience Creativity Skills
9,EuroKids International,Grade Teacher - (PG - UKG), Teaching / Education, Mid Level,  10 , Full Time," Samakhushi, Kathmandu Bishalnagar, Kathmandu Hattigauda, Kathmandu", Negotiable," Mar. 10, 2024 23", Under Graduate (Bachelor), More than or equal to 1 year, Interpersonal Skills Organizational Written Communication Presentation Verbal Communication
10,Tech Central,Pre-School Tutor (Tuition Teacher), Teaching / Education > Early childhood care and development, Mid Level,  1 , Part Time, Kathmandu, Negotiable," Apr. 09, 2024 23", Under Graduate (Bachelor), More than or equal to 2 years,No information
11,Kathmandu Vidya Kunja Secondary School,Primary Maths / Science Teacher," Teaching / Education > Elementary school, Primary/ Secondary/ High school teaching", Mid Level,  2 , Full Time, Tokha, Negotiable," Mar. 15, 2024 23", Under Graduate (Bachelor), Not Required, Presentation Leadership Interpersonal Skills Communication
12,Kathmandu Vidya Kunja Secondary School,Pre-Primary English Teacher," Teaching / Education > Early childhood care and development, Elementary school, Montessori Teaching, Primary/ Secondary/ High school teaching", Mid Level,  1 , Full Time, Tokha, Negotiable," Mar. 15, 2024 23", Higher Secondary (+2/A Levels/Ib), More than or equal to 1 year, Communication Teaching English Language Proficiency Spoken English
13,Kathmandu Vidya Kunja Secondary School,Primary English Teacher," Teaching / Education > Early childhood care and development, Elementary school, Primary/ Secondary/ High school teaching", Mid Level,  1 , Full Time, Tokha, Negotiable," Mar. 15, 2024 23", Under Graduate (Bachelor), More than 1 year, English Language Proficiency Lesson Planning Primary School Teaching
